NPA,employment_2023,grad_2023,home_price_2023,home_price_2021,job_density_2022,homicide_count
235,96.0,100.0,358625.0,505919.0,0,0.0
237,98.6,87.8,345478.0,180803.0,0,3.0
238,98.5,94.9,516902.0,195950.0,1,1.0
240,93.4,90.0,338150.0,350706.0,4,2.0
241,100.0,100.0,467122.0,775442.0,0,0.0
242,89.7,96.0,698039.0,226481.0,0,4.0
244,97.8,84.6,233600.0,225767.0,0,1.0
245,87.5,100.0,521795.0,227482.0,1,4.0
246,96.7,84.6,299833.0,144149.0,3,4.0
250,93.8,100.0,215200.0,199529.0,1,0.0
251,96.6,86.8,392341.0,268309.0,0,1.0
252,80.8,85.7,329986.0,291759.0,0,0.0
253,97.9,91.3,312764.0,376390.0,12,0.0
254,100.0,85.7,316484.0,359456.0,11,2.0
255,94.1,96.8,1479926.0,442781.0,1,0.0
256,98.8,89.7,477179.0,432554.0,0,0.0
257,94.9,94.1,271462.0,360285.0,1,0.0
258,86.8,97.5,505523.0,184185.0,1,3.0
259,99.3,92.9,969519.0,182000.0,0,3.0
260,97.1,93.9,308974.0,204257.0,3,8.0
261,98.3,85.7,362567.0,255005.0,0,0.0
262,97.1,96.3,223771.0,501912.0,0,1.0
264,93.3,90.0,254182.0,222301.0,0,4.0
265,97.7,75.0,203000.0,256933.0,0,0.0
266,97.2,93.5,318135.0,248759.0,0,0.0
267,95.0,93.5,197318.0,314486.0,2,1.0
268,97.6,81.8,385500.0,204963.0,0,1.0
269,93.1,100.0,387432.0,408553.0,2,0.0
271,90.5,100.0,400735.0,154033.0,0,0.0
273,96.6,84.2,311079.0,249264.0,0,1.0
275,97.8,100.0,475682.0,336318.0,1,2.0
276,100.0,95.2,507566.0,257489.0,1,3.0
277,98.7,100.0,772545.0,308461.0,0,0.0
278,98.6,88.9,215231.0,234855.0,2,2.0
279,100.0,92.3,279819.0,169016.0,0,0.0
280,100.0,74.4,595824.0,156090.0,4,1.0
281,96.5,100.0,281525.0,225863.0,5,1.0
282,99.6,68.4,282110.0,201388.0,0,3.0
283,99.6,85.7,339057.0,194886.0,0,2.0
284,95.3,95.5,413273.0,557715.0,2,0.0
286,98.9,100.0,594247.0,218400.0,5,1.0
287,100.0,100.0,338672.0,267250.0,7,0.0
288,97.9,100.0,357864.0,360955.0,1,0.0
289,93.7,87.7,383779.0,305549.0,1,1.0
290,99.8,100.0,385626.0,418258.0,15,13.0
291,100.0,73.9,309455.0,146825.0,1,5.0
293,94.9,70.0,270654.0,214583.0,1,7.0
295,94.9,91.7,340097.0,213712.0,0,4.0
296,95.0,97.4,565875.0,277353.0,0,0.0
298,92.5,84.6,460628.0,166000.0,10,0.0
299,98.8,96.9,374961.0,187948.0,1,3.0
301,94.7,96.0,287267.0,241051.0,0,2.0
302,100.0,86.8,281071.0,432727.0,1,0.0
303,76.1,92.3,494444.0,368795.0,8,0.0
305,95.9,70.0,273457.0,210725.0,0,0.0
306,85.6,92.3,321000.0,154350.0,6,5.0
307,94.8,95.0,308286.0,225953.0,4,7.0
308,100.0,100.0,495638.0,342655.0,0,0.0
309,86.4,100.0,508933.0,419018.0,0,0.0
310,96.9,93.0,443261.0,326592.0,2,0.0
311,98.4,100.0,385632.0,176138.0,1,4.0
312,96.0,100.0,297000.0,172500.0,0,2.0
313,85.3,70.8,323225.0,234971.0,5,1.0
314,95.0,65.2,441888.0,321500.0,0,1.0
316,96.1,86.8,336968.0,203295.0,2,5.0
317,77.2,100.0,440867.0,268398.0,1,1.0
318,94.4,100.0,408826.0,300139.0,1,0.0
319,96.7,90.6,305406.0,209066.0,3,1.0
320,100.0,100.0,943911.0,602746.0,6,0.0
321,89.3,90.0,256733.0,142256.0,1,3.0
322,93.1,86.7,294574.0,190028.0,0,0.0
323,97.6,88.9,285867.0,232616.0,2,4.0
324,99.3,92.9,406566.0,353728.0,0,2.0
325,91.6,86.7,256994.0,169658.0,0,1.0
326,97.5,40.0,351706.0,226986.0,0,4.0
327,86.9,87.5,286682.0,143861.0,2,3.0
328,100.0,76.9,311315.0,266698.0,1,4.0
329,100.0,88.9,285802.0,186875.0,0,0.0
330,98.3,84.2,313216.0,192642.0,0,0.0
331,96.0,76.9,292600.0,212950.0,5,7.0
332,99.0,86.4,344652.0,229571.0,0,4.0
333,94.2,78.1,290789.0,178488.0,1,2.0
335,96.2,100.0,452285.0,347672.0,1,0.0
336,94.2,87.5,356019.0,285118.0,0,2.0
337,98.3,100.0,415994.0,329495.0,0,1.0
344,85.9,100.0,395595.0,303208.0,1,5.0
345,96.2,76.5,345757.0,209202.0,0,0.0
346,98.1,95.5,261903.0,156987.0,3,7.0
347,52.8,100.0,535911.0,464234.0,3,2.0
348,95.7,83.3,320266.0,224919.0,0,2.0
349,99.5,93.8,1243964.0,1090607.0,0,0.0
350,98.6,93.3,583469.0,474486.0,2,0.0
351,89.1,92.9,641240.0,540816.0,0,0.0
352,96.9,91.7,495667.0,346510.0,0,0.0
353,100.0,94.9,617934.0,531350.0,1,0.0
354,100.0,100.0,272875.0,203131.0,7,0.0
355,98.8,100.0,435286.0,324779.0,13,2.0
356,95.2,100.0,719374.0,602139.0,2,0.0
357,83.5,100.0,589884.0,438918.0,2,0.0
358,99.0,100.0,669062.0,490231.0,19,2.0
359,91.0,93.3,728152.0,616082.0,1,0.0
360,95.6,97.0,339233.0,254438.0,0,0.0
361,94.2,91.7,479053.0,339452.0,8,2.0
362,100.0,88.5,311843.0,148708.0,2,7.0
363,90.5,90.0,327721.0,152521.0,5,19.0
364,97.2,100.0,1608122.0,1280982.0,2,0.0
365,100.0,87.5,349985.0,283608.0,2,1.0
366,94.7,80.0,289827.0,209000.0,7,4.0
367,98.0,90.5,626530.0,505791.0,26,1.0
368,99.1,91.7,293106.0,193533.0,4,0.0
370,79.3,72.5,376382.0,238721.0,7,14.0
371,95.4,75.8,248600.0,132733.0,2,19.0
372,96.8,92.6,399546.0,283594.0,1,3.0
373,100.0,85.7,854023.0,605274.0,1,0.0
374,96.7,95.0,276078.0,362437.0,0,22.0
375,96.5,100.0,1212034.0,890057.0,1,0.0
376,96.0,86.4,332707.0,218246.0,0,3.0
377,90.9,95.5,377854.0,250535.0,0,2.0
378,96.2,94.1,741306.0,652680.0,2,3.0
379,95.6,98.2,882931.0,648831.0,1,2.0
380,93.9,97.5,758632.0,569384.0,1,0.0
